Busstop,Total
영진전문대학정문건너,6548
경북공고앞,6539
큰고개오거리2,6525
동인초등학교앞,6522
지산현대주택앞,6519
국채보상운동기념공원,6486
무궁화LPG충전소,6463
본리119안전센터2,6457
본리네거리2,6449
동촌화성타운앞,6437
동촌역(신길)2,6428
칠곡한신아파트앞1,6421
현대시장건너,6416
LH천년나무2단지건너,6415
산격초등학교앞,6404
만경관건너,6395
욱수초등학교건너,6379
경북고등학교건너,6365
지산한라타운앞,6365
효목네거리3,6362
대봉교회,6361
경북아파트앞(신천동),6353
홈플러스내당점건너,6351
북비산네거리2,6337
강남약국앞2,6335
경일·호산대학교(대구방향),6331
만평역(서대구고속버스터미널)1,6331
동변주공그린빌앞,6320
율하역(4번출구),6315
만경관앞,6310
다산주공아파트건너,6300
유가읍사무소건너,6299
하양대구은행,6295
해안역(1번출구),6292
계명대학교동문건너1,6281
대평중학교건너,6275
대명5동행정복지센터앞,6235
범어쌍용예가앞,6235
황제맨션건너,6232
북리1,6213
국립대구박물관건너,6187
송현역(1번출구),6186
금락초교,6185
국민연금네거리,6180
텍스빌,6171
2.28기념중앙공원건너2,6159
무태조야동행정복지센터건너1,6154
북구구민운동장건너,6149
대중금속공업고등학교앞,6134
달서구청앞,6130
경진초등학교건너,6128
비산초등학교건너,6111
북구보건소앞,6110
토지주택공사앞,6109
불로우방아파트건너,6106
신매초등학교건너,6105
침산코오롱하늘채건너,6089
태전중앙시장앞,6088
대구과학고등학교건너,6082
앞산청구제네스건너,6075
다산(종점),6065
중앙초교,6033
대곡사계절타운건너,6011
복현우방아파트,6011
동구기억쉼터앞,6008
중동네거리2,6008
용계역(2번출구),6007
서대구시장앞,5996
신암초등학교건너,5986
대곡강산타운건너,5983
정동고등학교건너,5971
반야월저탄장건너,5964
상인은행아파트앞,5960
한국국토정보공사건너,5949
태왕메트로시티건너,5942
칠곡주공그린빌1단지앞,5933
대구과학고등학교앞,5929
LG물류센터앞,5924
검단동행정복지센터건너,5923
성북교2,5920
금봉네거리1,5916
상수도사업본부시설관리소건너,5897
하양황제맨션,5896
동명면우체국건너,5893
동원약품,5887
율하역(5번출구),5882
고성아파트(서편),5855
용산1동행정복지센터건너,5854
청기와주유소앞,5850
경북공고건너,5848
성동초등학교건너,5845
홈플러스내당점앞,5843
올림픽기념관건너,5841
다사고등학교건너,5840
동구청역(3번출구),5839
동구시장앞,5838
불로동고분군앞,5836
이진캐스빌건너,5828
서대구공단네거리4,5815
수성못오거리2,5811
팔공보성아파트앞,5794
본리초등학교앞,5785
경북개발공사,5782
팔달역2,5777
국립대구박물관앞,5759
옥포간경리2,5757
송현역(4번출구),5739
대덕맨션앞,5736
화랑교2,5736
대구고용노동청건너,5714
남구청네거리1,5710
가창면사무소앞,5708
계명대역(2번출구),5701
송현초등학교앞,5691
이월드(구.우방랜드)정문,5678
강창하이츠,5673
칠곡중학교앞(칠곡향교앞),5652
수성초등학교,5645
경상여자고등학교앞,5644
해안역(3번출구),5629
정평역1번출구,5625
지산목련아파트앞,5617
동성초등학교앞,5611
백자맨션건너,5595
북침산치안센터앞,5592
성화여고건너,5581
죽전그린빌앞,5576
지산타운앞,5568
대구공업대학2,5563
지묘동2,5552
반야월역(도시철도1번출구),5544
이마트트레이더스건너,5543
노원119안전센터건너,5540
대공원역(1번출구),5538
두류도서관앞,5534
코스트코홀세일건너/복현화성타운앞,5533
반야월저탄장앞,5522
금호서한이다음아파트앞,5477
산격청구맨션앞,5476
대구시교육청앞,5462
방촌역(2번출구),5446
상공회의소앞,5405
경서중학교앞,5395
옥산네거리(대구방향),5393
신당동행정복지센터앞,5392
