정류소명,X좌표,Y좌표,경유노선수,경유노선
인산마을건너,12842.366779,3557.356107,4,"401, 팔공1, 팔공2, 팔공3"
능성동입구앞,12842.6602,3557.5302,3,"401, 팔공2, 팔공3"
능성동입구건너,12842.6535,3557.5309,3,"401, 팔공2, 팔공3"
중마을(갓바위방향),12843.2686,3557.9684,3,"401, 팔공2, 팔공3"
중마을(시내방향),12843.2562,3557.9661,2,"401, 팔공2"
웃갈미마을앞,12841.9229,3557.1927,4,"401, 팔공1, 팔공2, 팔공3"
웃갈미마을건너,12841.9163,3557.1979,4,"401, 팔공1, 팔공2, 팔공3"
진정마을1,12842.827818,3557.594598,3,"401, 팔공2, 팔공3"
진정마을2,12842.833,3557.589,3,"401, 팔공2, 팔공3"
서당마을앞,12841.7924,3557.7131,3,"급행1, 팔공1, 팔공3"
서당마을건너,12841.7918,3557.7163,3,"급행1, 팔공1, 팔공3"
방짜유기박물관앞,12841.8793,3557.8596,3,"급행1, 팔공1, 팔공3"
방짜유기박물관건너,12841.8765,3557.8681,3,"급행1, 팔공1, 팔공3"
대구학생수련관입구앞,12841.9628,3558.7347,3,"급행1, 팔공1, 팔공3"
대구학생수련관입구건너,12841.9593,3558.736,3,"급행1, 팔공1, 팔공3"
동화교1,12841.8975,3559.0525,3,"급행1, 팔공1, 팔공3"
동화교2,12841.8786,3559.0525,3,"급행1, 팔공1, 팔공3"
동화사입구앞,12841.839,3559.3325,3,"급행1, 팔공1, 팔공3"
동화시설집단지구(종점)1,12841.6573,3559.2837,3,"급행1, 팔공1, 팔공3"
사복동입구교차로건너,12844.8578,3552.3176,7,"518, 518-1, 55, 555, 808, 814, 818"
사복동입구교차로,12844.916576,3552.332576,8,"518, 518-1, 55, 555, 808, 814, 818, 동구6"
신천역(3번출구),12837.012577,3552.460228,3,"425, 651, 북구3"
아양교3,12838.4816,3553.4188,4,"101, 401, 4010, 팔공2"
아양교4,12838.5077,3553.4094,3,"101-1, 401, 팔공2"
용계삼거리3,12841.095637,3552.503675,7,"55, 555, 708, 808, 814, 849, 북구3"
파계교,12838.2828,3556.4575,1,101-1
공산댐건너,12838.8153,3556.6952,3,"401, 팔공1, 팔공2"
도학동1,12842.0722,3558.3306,3,"급행1, 팔공1, 팔공3"
도학동,12842.0663,3558.3219,3,"급행1, 팔공1, 팔공3"
도평동입구1,12838.5673,3554.5519,1,팔공1
도평동입구2,12838.5662,3554.554,1,팔공1
도동청구타운건너,12838.9188,3554.5512,1,팔공1
도동청구타운앞,12838.9071,3554.5539,1,팔공1
평광종점,12841.6771,3555.8538,1,팔공1
농협동촌지점,12839.2175,3553.0629,1,618
방촌건널목,12840.178,3552.8177,1,동구3
신기역(화성타운앞),12842.1381,3552.0047,4,"518, 618, 651, 719"
신기역(화성타운건너),12842.15338,3551.989719,7,"518, 618, 651, 719, 북구3, 수성3, 수성3-1"
안심주공2단지앞,12841.9754,3552.013,4,"518, 618, 651, 719"
안심주공1단지앞,12841.859937,3552.022278,4,"518, 618, 651, 719"
강변동서마을건너,12840.7324,3552.5127,4,"156, 708, 849-1, 북구3"
화랑교1,12839.7809,3552.6242,10,"156, 518, 55, 555, 651, 708, 808, 814, 849, 북구3"
화랑교2,12839.7483,3552.6367,10,"156, 518, 55, 555, 651, 708, 808, 814, 849-1, 북구3"
불로화훼단지건너,12838.4048,3554.3873,6,"101, 101-1, 401, 4010, 팔공1, 팔공2"
내동건너,12839.9376,3557.3478,3,"401, 팔공1, 팔공2"
동화사입구건너,12841.8562,3559.3267,3,"급행1, 팔공1, 팔공3"
매여동(동구)저탄장,12843.0895,3554.6141,1,동구5
부동,12840.7392,3553.3043,1,동구3
부동삼거리,12840.749247,3553.321163,1,동구3
부동(종점),12841.692,3553.3511,1,동구3
해안초등학교뒤,12840.9521,3553.8137,1,동구3
경주최씨종가1,12841.1687,3554.161,1,동구3
경주최씨종가(종점),12841.187,3554.3691,1,동구3
부동농협,12840.8162,3553.4723,1,동구3
방촌1동,12840.487,3553.6816,1,동구3
둔산동,12840.4077,3553.8457,1,동구3
공군기지관사입구,12840.4508,3554.0568,1,동구3
측백나무숲건너,12839.799695,3555.150372,1,팔공1
측백나무숲앞,12839.791864,3555.13922,1,팔공1
섬뜸마을,12841.3014,3555.9502,1,팔공1
평광마을회관,12841.420162,3555.959952,1,팔공1
태왕그린힐즈건너,12838.4323,3556.3286,2,"101, 북구2"
태왕그린힐즈앞2,12838.425466,3556.333969,1,101
지묘동1,12838.3575,3556.459,2,"101, 북구2"
지묘동2,12838.3591,3556.4526,1,101
송정동2,12837.3319,3559.2143,4,"101, 101-1, 칠곡3, 팔공3"
송정동1,12837.3581,3559.2258,4,"101, 101-1, 칠곡3, 팔공3"
이마트반야월점건너,12843.711,3552.1551,2,"518, 518-1"
이마트반야월점앞,12843.6735,3552.1572,2,"518, 518-1"
송정삼거리1,12843.9129,3552.2398,2,"518, 518-1"
금강동,12844.182827,3551.546372,3,"618, 849, 849-1"
강동중·고등학교,12843.7333,3551.9976,1,동구2
강동중·고등학교건너,12843.7251,3551.9841,1,동구2
동호육교2,12843.4638,3552.007,7,"618, 849, 849-1, 동구2, 동구4-1, 동구7, 북구3"
동호육교1,12843.4629,3552.0001,8,"518-1, 618, 849, 849-1, 동구2, 동구4, 동구7, 북구3"
영조아파트건너,12843.5874,3551.9893,2,"618, 동구2"
영조아파트앞,12843.5966,3551.9917,2,"618, 동구2"
상록아파트,12843.3631,3551.9114,8,"518-1, 618, 849, 849-1, 동구2, 동구4, 동구7, 북구3"
동호초등학교건너,12843.2867,3551.8904,7,"618, 849, 849-1, 동구2, 동구4-1, 동구7, 북구3"
태왕메트로시티앞,12838.3926,3552.8658,2,"156, 순환3"
바른병원건너,12838.5964,3553.3659,1,618
동촌역(2번출구),12839.0017,3553.1706,1,618
도동교1,12839.1199,3554.6639,1,팔공1
도동교2,12839.1033,3554.6488,1,팔공1
도동제1경로당건너,12839.307548,3554.672087,1,팔공1
도동제1경로당앞,12839.377264,3554.727238,1,팔공1
갓골건너,12839.5807,3554.9495,1,팔공1
갓골앞,12839.5826,3554.9448,1,팔공1
구.동부정류장(남편),12838.0289,3552.2863,7,"399, 518, 524, 55, 555, 818, 순환2"
송정삼거리2,12843.8879,3552.2203,2,"518, 518-1"
용계동2,12841.173118,3552.729946,3,"156, 동구1, 동구1-1"
조일로봇고등학교(종점),12841.5515,3553.01468,2,"동구1, 동구1-1"
삼육구가든앞,12840.454,3555.891,1,팔공1
삼육구가든건너,12840.4523,3555.8874,1,팔공1
화전동2,12837.8769,3557.769,2,"101, 101-1"
용계동1,12841.16605,3552.723706,3,"156, 동구1, 동구1-1"
신천3동행정복지센터앞,12837.406098,3552.512674,2,"805, 동구1"
방촌맨션앞,12840.447839,3552.600516,6,"518, 55, 555, 651, 808, 814"
팔공학생야영장앞,12839.9194,3559.5521,1,팔공1
K2관사입구(종점),12840.3206,3554.1577,1,동구3
공산댐앞,12838.8373,3556.7066,3,"401, 팔공1, 팔공2"
갓바위,12843.5628,3558.2307,3,"401, 팔공2, 팔공3"
구둔산,12840.2939,3553.8046,1,동구3
동화시설집단지구(종점)2(대구시민안전테마파크),12841.6805,3559.2892,3,"급행1, 팔공1, 팔공3"
다리골,12840.2191,3555.7802,1,팔공1
태왕메트로시티건너,12838.456,3552.8567,2,"156, 순환3-1"
반야월역(도시철도3번출구),12842.8783,3551.9517,11,"518, 518-1, 618, 651, 805, 836, 849, 849-1, 동구4-1, 수성3, 수성3-1"
각산역(2번출구),12843.3855,3552.0519,5,"518, 518-1, 618, 849, 849-1"
각산역(1번출구),12843.3512,3552.0509,4,"518, 618, 849, 849-1"
반야월역(도시철도4번출구)2,12842.8837,3551.9616,3,"518, 618, 849-1"
경주최씨종가2,12841.1406,3554.0732,1,동구3
상동마을(둔산길),12841.0381,3553.9212,1,동구3
대구동촌유치원,12839.1728,3553.0907,1,618
동촌해성아파트앞,12838.7259,3553.3074,1,618
대원사입구,12844.393048,3557.790149,1,팔공1
진인동(진정마을)1,12842.892719,3557.508605,2,"401, 팔공1"
중대1동회관앞,12838.2584,3559.1164,2,"101, 101-1"
한걸고정마을,12838.237,3559.2796,2,"101, 101-1"
반야월모란1차아파트,12842.421,3551.9745,7,"518, 618, 651, 719, 북구3, 수성3, 수성3-1"
안심효성타운앞,12842.726615,3552.328067,12,"55, 555, 708, 805, 808, 814, 818, 836, 849-1, 980, 급행5, 동구2"
안심중학교건너,12842.44888,3551.958366,7,"518, 618, 651, 719, 북구3, 수성3, 수성3-1"
신덕마을입구,12841.446,3552.9631,2,"동구1, 동구1-1"
공산파출소,12838.0357,3558.7819,2,"101, 101-1"
용계삼거리4,12841.0415,3552.4872,2,"518, 651"
용계삼거리2,12840.991993,3552.538646,10,"55, 555, 618, 719, 805, 808, 818, 836, 980, 동구2"
대구신문사,12837.3377,3552.5397,1,북구3
중리마을,12838.0507,3558.7473,2,"101, 101-1"
팔공3차보성타운건너,12838.1249,3556.45,1,북구2
팔공3차보성타운앞,12838.1598,3556.4515,1,북구2
지묘2,12837.750228,3556.670037,1,북구2
지묘1,12837.7603,3556.678555,1,북구2
불로화훼단지앞,12838.2727,3554.2058,5,"101, 101-1, 401, 팔공1, 팔공2"
망우당공원(종점),12839.362834,3552.58093,1,-
능성동예비군훈련장,12843.951452,3557.681934,2,"401, 팔공1"
봉무공원건너,12838.46801,3555.319234,7,"101, 101-1, 401, 4010, 급행1, 팔공1, 팔공2"
한국폴리텍대학(섬유패션캠퍼스),12838.481334,3555.220025,6,"101, 101-1, 401, 급행1, 팔공1, 팔공2"
원불교앞,12838.49078,3555.66392,6,"101, 101-1, 401, 북구2, 팔공1, 팔공2"
이시아폴리스더샵1단지,12838.4685,3555.4764,8,"101, 101-1, 401, 4010, 급행1, 북구2, 팔공1, 팔공2"
송정동3,12837.47882,3559.3004,4,"101, 101-1, 칠곡3, 팔공3"
송정동4,12837.4931,3559.3,4,"101, 101-1, 칠곡3, 팔공3"
당정마을입구,12837.113524,3559.351341,4,"101, 101-1, 칠곡3, 팔공3"
팔공한마음주유소,12836.9798,3559.47458,4,"101, 101-1, 칠곡3, 팔공3"
덕곡(대구선명학교),12836.73302,3559.7126,4,"101, 101-1, 칠곡3, 팔공3"
덕곡(달구벌고교),12836.70978,3559.718795,4,"101, 101-1, 칠곡3, 팔공3"
팔공한마음주유소건너,12836.87708,3559.55552,4,"101, 101-1, 칠곡3, 팔공3"
당정마을입구건너,12837.105532,3559.345753,4,"101, 101-1, 칠곡3, 팔공3"
